userid,pazienti,prescrizioni
A./OY3©,58,582
8STWSE8,84,582
A:T{Z49,87,581
A:_<I!2,27,576
A.UZV}Y,45,573
"A:5EI[,",48,573
A:-¶<|I,40,571
A=N@P;1,39,566
A.OG!:I,55,562
A3QKKS8,37,561
HWFYSMV,92,559
A./QU2M,56,557
A=:L(/6,40,557
A./|]PA,26,548
A.B&)P¶,37,546
A:>VK>5,49,543
XWHWDX6,10,542
A.P2?W|,51,536
"A:D:,C>",70,535
A.*&5Q_,65,525
A.S3MMX,65,514
A.^[TX[,45,513
A.{WBK!,47,512
"A.B!Z!,",47,512
"A.TR,+8",49,511
"A.,@T^¶",58,506
A.C?*X@,47,506
A.U<S&(,36,505
HN37WQ5,110,499
A.*=V:),30,488
A=#?}K&,33,487
A.}H¶-^,56,484
A:_J[1<,11,480
A.UD1V[,40,476
"A.QLOF,",43,470
A.^L]P|,35,468
A=#OFV7,59,467
A.*7K}4,40,465
A.(]];X,43,464
A.Y;L©E,71,461
A.JSQ!{,54,458
A./QO5$,33,455
APYRN61,63,453
A.C©!O[,50,452
NTEQT7B,198,450
¶M/9+BN,43,448
¶]_*#}3,37,445
A.U^K)A,24,438
A.U=?7Z,31,430
A:[WQT.,31,416
A=N]8XP,27,416
A.^L43$,39,415
A.-@9}N,30,412
A.}©+$G,22,406
A.SV3?),47,403
A.W?NU0,25,397
"A.S,;+D",42,389
ACC9ZWM,68,384
A:>6X17,21,381
A=7?_7I,52,376
A:@2U|0,28,372
MHPTW9E,49,365
