userid,pazienti,prescrizioni
A.I1Q5;,1489,1892
¶R}S|$R,1306,1890
A¶;PS*Z,1302,1886
¶L08S;Z,1357,1886
7PTPSVJ,1841,1884
QSTYY61,1511,1862
CSKCURF,1117,1832
8DJV49E,1356,1822
RRSWUBC,1628,1812
A=N[¶@©,1188,1812
DMTFTZR,1181,1808
7BTSUPC,956,1803
XP7PQ1M,1849,1800
4SWCQX6,871,1796
QJEG4S8,1975,1793
ECQMUS8,1091,1789
A=©T1!+,1179,1787
^&&FDFU,1178,1777
"A:E,KYO",1284,1776
QBXPQ7B,1652,1772
NKMWRHQ,1826,1765
KHT9UPC,1469,1758
A=U&@Q8,1130,1749
RNQY4VJ,1645,1738
9JJRDBC,1185,1735
^^M?-E1,1409,1724
PPD4DT9,709,1720
ATPWWNA,1309,1710
KYYUWE8,1247,1709
AX6MUMV,907,1705
2BEWYE8,1666,1701
A=+>N$9,1487,1697
¶01V.9Z,1419,1691
CXTWYZR,1616,1687
¶0:4©VR,1349,1685
A:1>]#P,809,1679
"A=7?©J,",1248,1679
KCQYSFM,1165,1676
*=>NA^0,1431,1666
576RR4W,1707,1659
A=R8[)O,958,1658
^F]*_<2,1347,1656
A=3|?OR,1662,1654
WXGKYWM,1036,1653
A=?D{1O,1007,1633
KK5KQDF,1832,1626
^(?UHNH,853,1624
^I]<:;O,1212,1616
A:J<Y9R,1185,1609
JSGGU1M,1289,1605
YJQ7Y3Q,1156,1593
GD8G4VJ,1210,1589
A:2^;}H,789,1583
ARJEJ7B,1650,1575
A:|8P_A,1282,1575
APFJRNA,1691,1573
¶A*4}RH,1326,1571
A=M?D5F,1278,1568
*{1-8[C,579,1557
"*,7+!K8",1094,1556
¶=ENPR3,982,1554
^E>;}J0,1016,1545
A2PST61,1561,1542
RDX9UT9,1808,1541
^QT[|+O,1181,1539
67UUDS8,1467,1532
A=0V$&?,1192,1526
BNWCUZR,1318,1515
^G2U9-4,1116,1512
*+UM1HV,1123,1507
8JY4TBC,1562,1494
Q4G6SPC,782,1493
A=>KL_@,799,1492
ABNEWGJ,1415,1490
YWHMYVJ,1566,1482
¶FQ3!<A,1037,1481
A:XY(=O,1112,1476
^60(;DP,1424,1476
^38BZLB,1168,1475
A¶=|)&¶,1526,1462
A:33H7=,994,1460
"A=)),24",1145,1451
A.7G$NR,1028,1447
HG4TQ5U,1148,1428
C9UDW7B,1261,1423
X5R7WGJ,747,1419
¶6X(_2M,1445,1412
MJFQUBC,1446,1409
¶TM756T,1282,1409
4PYUSC5,1300,1364
GE8JYDF,1204,1360
A:6A)7.,1174,1356
^-]<0.N,1077,1355
A:@.|?W,1152,1354
KEMCVKA,873,1351
XKYX45U,680,1338
A:-(#N#,1162,1337
AFJ7SS8,1287,1337
2QRUQS8,1424,1336
*$;A{VG,755,1329
X446R5U,1500,1320
¶R[B=B4,1431,1312
