co_codifa,mese,count
026089019,2016-10-01,7716
025300029,2016-10-01,4977
026664021,2016-10-01,3016
033940038,2016-10-01,2814
025680024,2016-10-01,2604
026089019,2016-11-01,7893
025300029,2016-11-01,5278
026664021,2016-11-01,3029
025680024,2016-11-01,2775
033940038,2016-11-01,2751
026089019,2016-12-01,9560
025300029,2016-12-01,5224
026664021,2016-12-01,3288
025202058,2016-12-01,3157
033940038,2016-12-01,3133
026089019,2017-01-01,10638
025300029,2017-01-01,5500
026664021,2017-01-01,3826
025202058,2017-01-01,3819
033940038,2017-01-01,3668
026089019,2017-02-01,8373
025300029,2017-02-01,4988
026664021,2017-02-01,3101
033940038,2017-02-01,2719
025680024,2017-02-01,2494
026089019,2017-03-01,9790
025300029,2017-03-01,5668
026664021,2017-03-01,3177
033940038,2017-03-01,3125
025680024,2017-03-01,2858
026089019,2017-04-01,7008
025300029,2017-04-01,4701
026664021,2017-04-01,2710
033940038,2017-04-01,2260
025680024,2017-04-01,2198
026089019,2017-05-01,8968
025300029,2017-05-01,5931
026664021,2017-05-01,3207
025680024,2017-05-01,2864
033940038,2017-05-01,2537
026089019,2017-06-01,7362
025300029,2017-06-01,5649
025680024,2017-06-01,2775
026664021,2017-06-01,2756
033940038,2017-06-01,2070
026089019,2017-07-01,7621
025300029,2017-07-01,6313
025680024,2017-07-01,3101
026664021,2017-07-01,3022
033940038,2017-07-01,1890
026089019,2017-08-01,5779
025300029,2017-08-01,4969
026664021,2017-08-01,2696
025680024,2017-08-01,2618
033940038,2017-08-01,1539
026089019,2017-09-01,8521
025300029,2017-09-01,5738
026664021,2017-09-01,3310
025680024,2017-09-01,2866
033940038,2017-09-01,2336
026089019,2017-10-01,9422
025300029,2017-10-01,5506
026664021,2017-10-01,3735
033940038,2017-10-01,2901
025680024,2017-10-01,2805
026089019,2017-11-01,9039
025300029,2017-11-01,5108
026664021,2017-11-01,3327
033940038,2017-11-01,2668
025680024,2017-11-01,2645
026089019,2017-12-01,8529
025300029,2017-12-01,4776
026664021,2017-12-01,3033
033940038,2017-12-01,2615
025202058,2017-12-01,2440
026089019,2018-01-01,12622
025300029,2018-01-01,5875
025202058,2018-01-01,4038
026664021,2018-01-01,4038
033940038,2018-01-01,3862
027860042,2018-01-01,3632
026089019,2018-02-01,9035
025300029,2018-02-01,4647
026664021,2018-02-01,3320
033940038,2018-02-01,2754
025202058,2018-02-01,2651
026089019,2018-03-01,8993
025300029,2018-03-01,5346
026664021,2018-03-01,3500
033940038,2018-03-01,2881
025680024,2018-03-01,2629
026089019,2018-04-01,7553
025300029,2018-04-01,4799
026664021,2018-04-01,3156
033940038,2018-04-01,2547
025680024,2018-04-01,2165
026089019,2018-05-01,8415
025300029,2018-05-01,5581
026664021,2018-05-01,3345
025680024,2018-05-01,2791
033940038,2018-05-01,2551
026089019,2018-06-01,7026
025300029,2018-06-01,5240
026664021,2018-06-01,3044
025680024,2018-06-01,2670
033940038,2018-06-01,2166
026089019,2018-07-01,7371
025300029,2018-07-01,5809
025680024,2018-07-01,3074
026664021,2018-07-01,3029
033940038,2018-07-01,2080
026089019,2018-08-01,5143
025300029,2018-08-01,4220
026664021,2018-08-01,2368
025680024,2018-08-01,2210
033940038,2018-08-01,1517
026089019,2018-09-01,1512
025300029,2018-09-01,1167
026664021,2018-09-01,652
025680024,2018-09-01,561
033940038,2018-09-01,496
