userid,pazienti,prescrizioni
A.<M@9T,783,271
PQTPTRF,889,271
NMTJRFM,1137,266
A¶;PS!A,680,266
^ZZBG¶L,627,263
XY95SX6,1169,259
A:*MFDP,360,259
XQJNDC5,756,256
XKYX45U,680,255
A.P3{WW,486,255
A.EI:#M,1013,252
QSSPY1M,1760,247
^60(;DP,1424,246
A:O4?OP,308,245
^}V#;}F,823,243
A:F52-D,815,240
A=P<T//,952,239
YKC8SX6,687,239
YHQSDE8,1322,239
A¶=|)&¶,1526,237
PYHSWS8,1692,235
SNDY4X6,642,234
A.*MY&&,510,234
A.&D-MS,398,223
A:¶7RK©,335,221
*?F72GD,565,219
A.:(6/$,502,218
¶B2X>&7,451,218
A.A^^T{,681,217
GPDT4BC,657,217
¶G-?GB3,701,217
A¶#©Y}G,411,211
"A.A^,BD",634,210
"A¶,<:LS",506,208
A.27FG©,537,205
"A¶,L5+H",850,205
^E>;}J0,1016,205
^BHL>:L,455,200
A:Q¶O<I,525,200
^|#<5}Z,649,199
"^81,Z¶S",268,198
A.3!©M#,413,197
"A:_;8,>",363,196
J4S9YBC,1088,196
^3?-Q8F,703,194
Q3HPD1M,534,192
A=+N9U¶,517,191
^@7]©D3,608,191
A.Y<8|[,678,191
67MHYS8,1394,190
^Q#+JHL,477,190
BNWCUZR,1318,188
A.-2(Z},445,188
¶T3S}JT,498,187
A:H95BI,884,186
A:6A)7.,1174,186
QKJYQ9E,429,185
2K3WTS8,830,182
R5X5SDF,594,182
N7RHDBC,736,180
A=@L¶+$,345,180
^©OPKW4,417,178
A¶_F98;,794,178
A¶.¶$*[,497,175
JQ9RSRF,805,175
A:4Y|N{,2735,172
^FF*(63,581,170
A=3|?OR,1662,168
A=DOT{:,758,167
*]./RG7,179,165
A=N6:R$,594,164
A:Q5Y|¶,588,160
A.QN|{T,266,155
A2HSV3Q,981,153
GFXW49E,565,150
A.RXKS8,402,147
¶0QUQ#5,579,145
^@A}K/0,533,145
^!3;PK3,497,142
¶69=&¶U,373,140
¶9S<|ZI,574,140
¶WD_0*7,364,139
RBJYW84,591,138
A=U©[T@,574,138
^?FBI05,519,138
PWWUDQ5,1751,138
^HNM>)S,506,137
ARJEJ7B,1650,136
^B;*0@E,263,133
¶B.G9UF,1328,132
A.YVZUV,371,132
A=NL::<,991,131
XQNGSMV,806,130
A:Z/UDW,380,129
A¶_F9JQ,734,129
A:_;G0©,375,129
4DUUUQ5,935,127
APFJRNA,1691,125
